measure,location,sex,age,cause,year,death_rate_per_100k,Code,clean_fuel_access_pct,AveragScore,SafetySecurity,PersonelFreedom,Governance,SocialCapital,InvestmentEnvironment,EnterpriseConditions,MarketAccessInfrastructure,EconomicQuality,LivingConditions,Health,Education,NaturalEnvironment,avg_temp_1991_2020,Continent,temp_category
Deaths,Congo,Male,<1 year,Poisoning by carbon monoxide,2021,0.2787182358286339,,,,,,,,,,,,,,,,24.35,,Warmer
Deaths,Congo,Female,<1 year,Poisoning by carbon monoxide,2021,0.0031546208919852,,,,,,,,,,,,,,,,24.35,,Warmer
Deaths,Slovenia,Male,All ages,Poisoning by carbon monoxide,2021,0.1676188565834424,SVN,100.0,,,,,,,,,,,,,,9.86,Europe,Colder
Deaths,Slovenia,Female,All ages,Poisoning by carbon monoxide,2021,0.055184305010147,SVN,100.0,,,,,,,,,,,,,,9.86,Europe,Colder
Deaths,Slovenia,Male,<1 year,Poisoning by carbon monoxide,2021,0.023355226045067,SVN,100.0,,,,,,,,,,,,,,9.86,Europe,Colder
Deaths,Slovenia,Female,<1 year,Poisoning by carbon monoxide,2021,0.0107010605709086,SVN,100.0,,,,,,,,,,,,,,9.86,Europe,Colder
Deaths,Bahamas,Male,All ages,Poisoning by carbon monoxide,2020,0.1580232233973802,BHS,100.0,,,,,,,,,,,,,,25.58,North America,Warmer
Deaths,Bahamas,Female,All ages,Poisoning by carbon monoxide,2020,0.0510039079457504,BHS,100.0,,,,,,,,,,,,,,25.58,North America,Warmer
Deaths,Bahamas,Male,<1 year,Poisoning by carbon monoxide,2020,0.1095925869061851,BHS,100.0,,,,,,,,,,,,,,25.58,North America,Warmer
Deaths,Bahamas,Female,<1 year,Poisoning by carbon monoxide,2020,0.0902012112961513,BHS,100.0,,,,,,,,,,,,,,25.58,North America,Warmer
Deaths,Slovenia,Male,All ages,Poisoning by carbon monoxide,2020,0.1719875035977265,SVN,100.0,,,,,,,,,,,,,,9.86,Europe,Colder
Deaths,Slovenia,Female,All ages,Poisoning by carbon monoxide,2020,0.0598285257873919,SVN,100.0,,,,,,,,,,,,,,9.86,Europe,Colder
Deaths,Slovenia,Male,<1 year,Poisoning by carbon monoxide,2020,0.024024460681402,SVN,100.0,,,,,,,,,,,,,,9.86,Europe,Colder
Deaths,Slovenia,Female,<1 year,Poisoning by carbon monoxide,2020,0.011389777767798,SVN,100.0,,,,,,,,,,,,,,9.86,Europe,Colder
Deaths,Luxembourg,Male,All ages,Poisoning by carbon monoxide,2020,0.1064247132934961,LUX,100.0,,,,,,,,,,,,,,10.02,Europe,Colder
Deaths,Luxembourg,Female,All ages,Poisoning by carbon monoxide,2020,0.0610527906084984,LUX,100.0,,,,,,,,,,,,,,10.02,Europe,Colder
Deaths,Luxembourg,Male,<1 year,Poisoning by carbon monoxide,2020,0.0175042391703684,LUX,100.0,,,,,,,,,,,,,,10.02,Europe,Colder
Deaths,Luxembourg,Female,<1 year,Poisoning by carbon monoxide,2020,0.0091392491326949,LUX,100.0,,,,,,,,,,,,,,10.02,Europe,Colder
Deaths,Thailand,Male,All ages,Poisoning by carbon monoxide,2021,0.1075907827250636,THA,85.2,,,,,,,,,,,,,,26.85,Asia,Warmer
Deaths,Thailand,Female,All ages,Poisoning by carbon monoxide,2021,0.0200515127214269,THA,85.2,,,,,,,,,,,,,,26.85,Asia,Warmer
Deaths,Thailand,Male,<1 year,Poisoning by carbon monoxide,2021,0.0139635908487845,THA,85.2,,,,,,,,,,,,,,26.85,Asia,Warmer
Deaths,Thailand,Female,<1 year,Poisoning by carbon monoxide,2021,0.0110322304431608,THA,85.2,,,,,,,,,,,,,,26.85,Asia,Warmer
Deaths,Italy,Male,All ages,Poisoning by carbon monoxide,2021,0.1448489842918607,ITA,100.0,,,,,,,,,,,,,,13.02,Europe,Colder
Deaths,Italy,Female,All ages,Poisoning by carbon monoxide,2021,0.0968401704399192,ITA,100.0,,,,,,,,,,,,,,13.02,Europe,Colder
Deaths,Italy,Male,<1 year,Poisoning by carbon monoxide,2021,0.01870333652576,ITA,100.0,,,,,,,,,,,,,,13.02,Europe,Colder
Deaths,Italy,Female,<1 year,Poisoning by carbon monoxide,2021,0.0189734093423718,ITA,100.0,,,,,,,,,,,,,,13.02,Europe,Colder
Deaths,Guam,Male,All ages,Poisoning by carbon monoxide,2017,0.4389623655304799,,,,,,,,,,,,,,,,27.81,,Warmer
Deaths,Guam,Female,All ages,Poisoning by carbon monoxide,2017,0.0032972737525958,,,,,,,,,,,,,,,,27.81,,Warmer
Deaths,Guam,Male,<1 year,Poisoning by carbon monoxide,2017,0.2777804264485878,,,,,,,,,,,,,,,,27.81,,Warmer
Deaths,Guam,Female,<1 year,Poisoning by carbon monoxide,2017,0.0121596912077587,,,,,,,,,,,,,,,,27.81,,Warmer
Deaths,Saint Kitts and Nevis,Male,All ages,Poisoning by carbon monoxide,2020,0.060183375709646,KNA,100.0,,,,,,,,,,,,,,27.47,North America,Warmer
Deaths,Saint Kitts and Nevis,Female,All ages,Poisoning by carbon monoxide,2020,0.0031014781236389,KNA,100.0,,,,,,,,,,,,,,27.47,North America,Warmer
Deaths,Saint Kitts and Nevis,Male,<1 year,Poisoning by carbon monoxide,2020,0.0334923977189076,KNA,100.0,,,,,,,,,,,,,,27.47,North America,Warmer
Deaths,Saint Kitts and Nevis,Female,<1 year,Poisoning by carbon monoxide,2020,0.0043604553774226,KNA,100.0,,,,,,,,,,,,,,27.47,North America,Warmer
Deaths,Kazakhstan,Male,All ages,Poisoning by carbon monoxide,2021,2.3292705508447984,KAZ,94.2,,,,,,,,,,,,,,7.11,Asia,Colder
Deaths,Kazakhstan,Female,All ages,Poisoning by carbon monoxide,2021,0.8397456017746289,KAZ,94.2,,,,,,,,,,,,,,7.11,Asia,Colder
Deaths,Kazakhstan,Male,<1 year,Poisoning by carbon monoxide,2021,0.735440952011709,KAZ,94.2,,,,,,,,,,,,,,7.11,Asia,Colder
Deaths,Kazakhstan,Female,<1 year,Poisoning by carbon monoxide,2021,0.8381399965374644,KAZ,94.2,,,,,,,,,,,,,,7.11,Asia,Colder
Deaths,Thailand,Male,All ages,Poisoning by carbon monoxide,2022,0.1127025429200757,THA,86.0,,,,,,,,,,,,,,26.85,Asia,Warmer
Deaths,Thailand,Female,All ages,Poisoning by carbon monoxide,2022,0.0215670691056539,THA,86.0,,,,,,,,,,,,,,26.85,Asia,Warmer
Deaths,Thailand,Male,<1 year,Poisoning by carbon monoxide,2022,0.0124435248478953,THA,86.0,,,,,,,,,,,,,,26.85,Asia,Warmer
Deaths,Thailand,Female,<1 year,Poisoning by carbon monoxide,2022,0.0097507570053653,THA,86.0,,,,,,,,,,,,,,26.85,Asia,Warmer
Deaths,Bhutan,Male,All ages,Poisoning by carbon monoxide,2022,0.2617998338208461,BTN,90.6,,,,,,,,,,,,,,10.38,Asia,Colder
Deaths,Bhutan,Female,All ages,Poisoning by carbon monoxide,2022,0.0559255225643848,BTN,90.6,,,,,,,,,,,,,,10.38,Asia,Colder
Deaths,Bhutan,Male,<1 year,Poisoning by carbon monoxide,2022,0.3723525069078952,BTN,90.6,,,,,,,,,,,,,,10.38,Asia,Colder
Deaths,Bhutan,Female,<1 year,Poisoning by carbon monoxide,2022,0.3908105340649995,BTN,90.6,,,,,,,,,,,,,,10.38,Asia,Colder
Deaths,Vanuatu,Male,All ages,Poisoning by carbon monoxide,2023,0.1383860046921922,VUT,20.6,,,,,,,,,,,,,,24.44,Oceania,Warmer
Deaths,Vanuatu,Female,All ages,Poisoning by carbon monoxide,2023,0.0062721591641266,VUT,20.6,,,,,,,,,,,,,,24.44,Oceania,Warmer
Deaths,Vanuatu,Male,<1 year,Poisoning by carbon monoxide,2023,0.1171890049573116,VUT,20.6,,,,,,,,,,,,,,24.44,Oceania,Warmer
Deaths,Vanuatu,Female,<1 year,Poisoning by carbon monoxide,2023,0.0046348979448099,VUT,20.6,,,,,,,,,,,,,,24.44,Oceania,Warmer
Deaths,San Marino,Male,All ages,Poisoning by carbon monoxide,2019,0.0064138148902471,SMR,100.0,,,,,,,,,,,,,,12.83,Europe,Colder
Deaths,San Marino,Female,All ages,Poisoning by carbon monoxide,2019,0.0068317838647,SMR,100.0,,,,,,,,,,,,,,12.83,Europe,Colder
Deaths,San Marino,Male,<1 year,Poisoning by carbon monoxide,2019,0.0009335238360244,SMR,100.0,,,,,,,,,,,,,,12.83,Europe,Colder
Deaths,San Marino,Female,<1 year,Poisoning by carbon monoxide,2019,0.0010022228520803,SMR,100.0,,,,,,,,,,,,,,12.83,Europe,Colder
Deaths,Tonga,Male,All ages,Poisoning by carbon monoxide,2022,0.6952125981479566,TON,88.6,,,,,,,,,,,,,,25.01,Oceania,Warmer
Deaths,Tonga,Female,All ages,Poisoning by carbon monoxide,2022,0.182111520436279,TON,88.6,,,,,,,,,,,,,,25.01,Oceania,Warmer
Deaths,Tonga,Male,<1 year,Poisoning by carbon monoxide,2022,1.3376358631070104,TON,88.6,,,,,,,,,,,,,,25.01,Oceania,Warmer
